A.01., I can correctly manipulate algebraic expressions and equations
A.02., I can solve a linear equation
A.03., I can use a linear equation to model a real system
A.04., I can translate between graphical and functional expressions of a model
A.05., I can interpret features of a graph in relation to the system it models
A.06., I can identify the limitations of a linear model in relation to a realsystem
B.07., I can identify situations in which a quadratic model is useful
B.08., I can solve quadratic equations
B.09., I can make use of graphs of quadratic functions to determine features of the systems they model
B.10., I can identify limitations of a quadratic model in relation to a real system
B.11., I can make adjustments to a quadratic model using polynomial and rational functions
B.12., I can solve specific applications of polynomial functions in business
C.13., I can solve systems of linear equations
C.14., I can use systems of linear equations to model a real system
C.15., I can construct a matrix representation for a linear system
C.16., I can perform basic matrix operations correctly (addition, subtraction, scalar multiplication)
C.17., I can perform matrix multiplication correctly
C.18., I can explain the relationship between basic matrix operations and the real systems the matrix models
C.19., I can use matrix operations to solve a system of equations
C.20., I can find the inverse of a matrix
D.21., I can solve linear inequalities in one variable
D.22., I can solve linear inequalities in two variables
D.23., I can use a graphical representation to solve a linear programming problem
D.24., I can translate between a real system and a representation using a linear programming model
D.25., I can apply linear programming methods to solve real problems
E.26., I can determine the limits of a function
E.27., I can explain the criteria that determine the continuity of a function
E.28., I can compute rates of change
E.29., I can explain the connection between rates of change and the derivative
E.30., I can compute derivatives of polynomial functions
E.31., I can apply the product and quotient rules to find derivatives
E.32., I can use the chain rule
E.33., I can explain the chain rule
E.34., I can use derivatives to construct models of real problems
E.35., I can solve real problems by using derivatives 



